min_idx,sea_traj,other_traj,game_id
1,23.706539182259394,30.80697580112788,401320570
2,23.248456731316587,20.591260281974,401320570
3,23.021728866442675,23.853720883753127,401320570
4,27.294688127912362,24.397352657904207,401320570
5,50.209244702229086,8.06225774829855,401320570
6,23.706539182259394,0,401320570
7,3.605551275463989,3.1622776601683795,401320570
8,46.758744371616224,2.23606797749979,401320570
1,41.04948524376262,1.4142135623730951,401320578
2,48.88659315043567,14.560219778561036,401320578
3,28.162277660168378,4.47213595499958,401320578
4,23.40939982143925,50.39678255939812,401320578
5,41.283500800560695,17.46424919657298,401320578
6,27.221189363500976,63.20900284246283,401320578
7,43.5369323958695,0,401320578
8,4.414213562373095,0,401320578
1,23.710303973640617,9.219544457292887,401320583
2,4,46.043541750336296,401320583
3,45.38240864144058,27.46969287483695,401320583
4,2.23606797749979,0,401320583
5,21.470910553583888,44.564283086172416,401320583
6,11.40175425099138,24.20743687382041,401320583
7,9.414213562373096,22.80350850198276,401320583
8,37.85573111043868,29.20743687382041,401320583
1,2.23606797749979,1,401320590
2,10,3.605551275463989,401320590
3,26.932006308177804,9.219544457292887,401320590
4,0,26.832815729997478,401320590
5,36.419198815746874,2.23606797749979,401320590
6,6.324555320336759,23.021728866442675,401320590
7,32.069157058815904,3.1622776601683795,401320590
8,50.26358286570624,30.017725139740946,401320590
1,25.762891763156205,5,401320595
2,30.287487560238155,2.8284271247461903,401320595
3,12.53169811848679,13.45362404707371,401320595
4,56.72570673647583,2.23606797749979,401320595
5,21.587033144922902,27.213142551833275,401320595
6,26.090014125618495,4.47213595499958,401320595
7,24.596747752497688,74.35715830930823,401320595
8,18.439088914585774,50.26929473353354,401320595
1,27.315940385468696,39.9018223239099,401320605
2,41.413111231467404,22.484524708816377,401320605
3,16.430525824321766,23.194827009486403,401320605
4,27.82842712474619,15.652475842498529,401320605
5,48.376689288628086,0,401320605
6,4.47213595499958,2.8284271247461903,401320605
7,42.52448393389032,3.605551275463989,401320605
8,8.16227766016838,11.074638375981511,401320605
1,5.06449510224598,10.04987562112089,401320610
2,45.12423773680254,33.64244998045609,401320610
3,23.08679276123039,49.446295802068335,401320610
4,29.979702326567555,29.20414621823416,401320610
5,23.345235059857504,0,401320610
6,28.02379604162864,18.92838827718412,401320610
7,52.203908220510996,16.1245154965971,401320610
8,0,1.4142135623730951,401320610
1,11.045361017187261,8.06225774829855,401320617
2,50.61229107151546,40.810931485249526,401320617
3,39.920751270606445,2,401320617
4,1,8.738768882709854,401320617
5,25.80697580112788,0,401320617
6,7,43.01236933512871,401320617
7,23.853720883753127,3.6502815398728847,401320617
8,2.8284271247461903,0,401320617
